Instance,Policy,Seed,Status,Nnodes,Fair Nodes,Gap,Integral
eil33-2,brant,2,infeasible,10699,10765,0,1721.745242
eil33-2,brant,3,infeasible,8891,8901,0,1175.462367
eil33-2,brant,4,infeasible,7915,8077,0,1344.352581
istanbul-no-cutoff,brant,0,infeasible,285,285,0,4577.039481
istanbul-no-cutoff,brant,1,infeasible,409,409,0,5344.99248
istanbul-no-cutoff,brant,2,infeasible,291,293,0,5896.24316
istanbul-no-cutoff,brant,3,infeasible,261,261,0,4467.553735
istanbul-no-cutoff,brant,4,infeasible,243,245,0,4613.488072
l152lav,brant,0,infeasible,133,133,0,48.99272619
l152lav,brant,1,infeasible,417,417,0,40.57517747
l152lav,brant,2,infeasible,293,293,0,31.44170752
l152lav,brant,3,infeasible,239,239,0,44.74450432
l152lav,brant,4,infeasible,349,349,0,33.39998239
lseu,brant,0,infeasible,428,430,0,19.82768678
lseu,brant,1,infeasible,327,327,0,11.74151269
lseu,brant,2,infeasible,169,169,0,10.26695163
lseu,brant,3,infeasible,333,333,0,12.18494177
lseu,brant,4,infeasible,295,295,0,10.10977762
misc03,brant,0,infeasible,1287,1287,0,146.6303856
misc03,brant,1,infeasible,791,791,0,92.25422586
misc03,brant,2,infeasible,1594,1594,0,129.0306818
misc03,brant,3,infeasible,623,623,0,53.75398601
misc03,brant,4,infeasible,1467,1471,0,125.8795689
neos20,brant,0,infeasible,1068,1068,0,145.4113359
neos20,brant,1,infeasible,1907,1907,0,218.9055575
neos20,brant,2,infeasible,1650,1650,0,216.1463541
neos20,brant,3,infeasible,1430,1430,0,189.5945289
neos20,brant,4,infeasible,1058,1058,0,137.5443302
neos21,brant,0,infeasible,1134,1134,0,1183.066339
neos21,brant,1,infeasible,861,861,0,961.5490104
neos21,brant,2,infeasible,872,872,0,971.968536
neos21,brant,3,infeasible,1049,1049,0,1180.539225
neos21,brant,4,infeasible,1151,1151,0,898.4297702
neos-476283,brant,0,infeasible,4029,4043,0,2701.031171
neos-476283,brant,1,infeasible,2505,2521,0,2991.534454
neos-476283,brant,2,infeasible,2539,2553,0,3523.217698
neos-476283,brant,3,infeasible,3267,3283,0,2641.337815
neos-476283,brant,4,infeasible,2893,2907,0,2530.321465
neos648910,brant,0,infeasible,23,23,0,34.39685
neos648910,brant,1,infeasible,51,51,0,40.47
neos648910,brant,2,infeasible,95,95,0,44.5741
neos648910,brant,3,infeasible,161,161,0,55.22495
neos648910,brant,4,infeasible,43,43,0,30.79225
